task_id,onet_soc_code,occupation_title,task_statement,dim1_Distributional Coverage_R,dim1_Distributional Coverage_B,dim2_Tacit Knowledge_R,dim2_Tacit Knowledge_B,dim3_Specification Ambiguity_R,dim3_Specification Ambiguity_B,dim4_Sequential Coherence_R,dim4_Sequential Coherence_B,dim5_Working Memory_R,dim5_Working Memory_B,dim6_Long-Term Memory_R,dim6_Long-Term Memory_B,dim7_Multimodal Demand_R,dim7_Multimodal Demand_B,dim8_Inference Speed_R,dim8_Inference Speed_B,dim9_Output Verifiability_R,dim9_Output Verifiability_B,dim10_Reliability Threshold_R,dim10_Reliability Threshold_B,dim11_Counterpart Acceptance_R,dim11_Counterpart Acceptance_B,dim12_Regulatory & Legal Constraints_R,dim12_Regulatory & Legal Constraints_B,exposure
1,11-2022.00,Sales Managers,Resolve customer complaints regarding sales and service.,3,1,2,1,3,2,2,2,2,1,2,1,1,1,2,1,2,2,2,2,,2,,1,0.485218
100,13-1151.00,Training and Development Specialists,Coordinate recruitment and placement of training program participants.,2,1,2,1,2,2,2,1,2,1,2,1,1,0,1,0,2,1,2,2,,1,,1,0.604382
1000,11-3121.00,Human Resources Managers,Prepare personnel forecast to project employment needs.,2,1,2,2,2,2,2,1,2,1,2,1,1,0,0,0,3,3,2,2,,1,,1,0.0
1001,11-3121.00,Human Resources Managers,Prepare and follow budgets for personnel operations.,2,1,2,1,2,2,2,1,2,1,2,1,1,0,0,0,2,1,2,2,,1,,1,0.588575
1002,11-3121.00,Human Resources Managers,"Develop, administer and evaluate applicant tests.",3,2,2,2,3,2,2,1,2,1,2,1,1,0,0,0,3,3,3,3,,1,,1,0.0
1003,11-3121.00,Human Resources Managers,"Oversee the evaluation, classification, and rating of occupations and job positions.",3,1,2,1,2,2,2,1,2,1,2,1,0,0,0,0,2,2,3,2,,2,,1,0.495331
1004,11-3121.00,Human Resources Managers,"Study legislation, arbitration decisions, and collective bargaining contracts to assess industry trends.",2,1,2,1,2,1,2,1,3,2,2,1,0,0,0,0,3,2,2,2,,0,,0,0.489911
10042,51-2041.00,Structural Metal Fabricators and Fitters,Study engineering drawings and blueprints to determine materials requirements and task sequences.,2,1,2,2,1,1,2,2,2,1,0,0,3,2,1,0,2,2,3,2,,0,,0,0.429541
1005,11-3121.00,Human Resources Managers,"Develop or administer special projects in areas such as pay equity, savings bond programs, day care, and employee awards.",3,1,2,2,3,2,2,1,2,1,2,1,1,0,0,0,3,2,3,2,,2,,1,0.465788
1006,11-3121.00,Human Resources Managers,Provide terminated employees with outplacement or relocation assistance.,2,1,2,1,2,2,2,1,2,1,2,1,1,0,1,0,2,1,2,2,,3,,1,0.0
